OrderNumber,OrderStatus,CustomerNumber,CustomerName,OrderDate,ShipDate,PromisedDate,Closed,CreditHold,OnHold,BlanketOrder,Amount,OrderType,CustomerPurchaseOrderNumber,SalesAgent,Division,Warehouse,TaxCode,ShipperID,Attention,FOB,FreightOption,FreightAmount,FreightCost,Email,FreeField1,FreeField2,OrderRemarks,InternalRemarks,OrderRemark3,OrderRemark4,ShipToSequence,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToZip,ShipToCountry,Phone,ShipFromName,ShipFromAddress1,ShipFromAddress2,ShipFromAddress3,ShipFromCity,ShipFromState,ShipFromZip,ShipFromCountry,MiscCharge1,MiscCharge1GL,MiscCharge1Reason,MiscCharge1Tax,MiscCharge2,MiscCharge2GL,MiscCharge2Reason,MiscCharge2Tax,MiscCharge3,MiscCharge3GL,MiscCharge3Reason,MiscCharge3Tax,MiscCharge4,MiscCharge4GL,MiscCharge4Reason,MiscCharge4Tax,NumberOfPallets,ShippingZone,Truck,TruckRunId,TruckRunDate,StopNumber,StandingOrderRelease,ExternalTracking,CreateDate,UpdateDate,items,CustomFields,Month
900780,Entered,264461114060,Jonathan,2025-12-03,2025-12-03T00:00:00-05:00,2025-12-03T12:35:40-05:00,False,False,True,False,0.0,1,50006,00,1,1,100,TRUCK,Jonathan R,EXW San Antonio TX,COLLECT,,,jonathan1@webpuma.com,UPS Ground / FedEx Ground,,,,,,-1,Jonathan,Street test,,,Houston,TX,77001,US,80000000,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-12-03T04:35:37.57-05:00,2025-12-03T04:35:37.57-05:00,[],{},2025-12
900086,Entered,0011342,"B3 Systems, Inc.",2021-08-19,2024-12-31T00:00:00-05:00,2024-12-31T00:00:00-05:00,False,False,False,False,379695.08,1,2021013.3,0000,1,1,100,TRUCK,,San,COLLECT,,,robert@b3systems.com,,,,"S/O 834562

FedEx Acct. No. 1529-1047-9
FedEx Freight Acct. No. 1387-3711-0
UPS Acct. No.  22A81X

Place on BOL:
B3 Systems does not have a loading dock.  They will need a lift gate truck for delivery.

Email BOL with tracking number to Robert Baxter at robert@b3systems.com and Lee Salter at lee@b3systems.com

THIRD PARTY BILLING:
B3 Systems
3208 -106 Spottswood St.
Raleigh, NC  27615

Email Tech Data Sheet and Tracking Number to Robert Baxter at robert@b3systems.com and Lee Salter at lee@b3systems.com",,,-1,"B3 Systems, Inc.",3208-106 Spottswood St.,,,Raleigh,NC,27615,USA,(919) 790-9090,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-09-16T09:21:45.613-04:00,2025-01-13T17:24:44.303-05:00,[],{},2021-08
900343,Entered,0012051,Hope Pharmaceuticals,2024-12-16,2025-12-31T00:00:00-05:00,2024-12-17T00:00:00-05:00,False,False,False,False,23072.0,1,4500180464,0012,1,1,100,TRUCK,Jason Roble,FOB-SanAntonioTx,THIRD PARTY,,,,,,SAGE Order No. 0866772,"PO No. 4500180464 must be on all documents

List appearance on all TDS

Please reference below on BOL:
Delivery hours are normally 8am - 3pm.

Expeditors Freight:
Goran Pavich
Supervisor, Transcon Services
Main       602-437-8877
Direct     602-358-0537
Fax          602-437-8686
Mobile    310-994-2178
Email:    Goran.Pavich@expeditors.com 
                                                  
Phoenix Branch (PHX)
3930 E. Watkins St. Suite 100
Phoenix, AZ 85034

Code 14536/C2866 - Sodium Sulfite
100 Kg drums - 9 drums per plastic pallet

Must be on special plastic pallet specific for this client

Add a separate line for the plastic pallets - $38.00 per pallet

prepayments per release - Net 30 for the plastic pallets charge
bill for plastic pallets with net 30

Email invoice to sherman@hopepharm.com",,,4,Alcami Corporation,W132 N10550 Grant Drive,,,Germantown,WI,53022,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-12-16T15:56:24.697-05:00,2025-01-30T09:40:36.81-05:00,[],{},2024-12
900350,Entered,0011938,Carl Roth GmbH+Co. KG,2024-12-16,2025-03-19T00:00:00-04:00,2025-01-24T00:00:00-05:00,False,False,False,False,3660.0,1,6341143,0006,1,1,100,FEDEX INT'L,Celine Therese Berger,ExWorks-SanAntonioTX,COLLECT,,,,,,SAFE sales order # 0883360,"FedEx Acct. No.: 1318 9634 4
                   
Do not insure. Cost for transportation insurance are not accepted by Carl Roth.
(Only applies when shipping UPS) 

Material must be from one lot only and needs to be from most recent production. 

Enclose 2 copies only of our Invoice with the shipment

Email invioce  to purchasing_ch@carlroth.com

Email tech data sheet to laboratory@carlroth.com",,,1,Carl Roth GmbH+Co. KG,An der Mole 5,,,.,.,.,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2024-12-16T18:12:09.253-05:00,2025-03-11T15:08:49.16-04:00,[],{},2024-12
900390,Entered,0011418,Nutrisol LLC,2025-02-13,2025-03-07T00:00:00-05:00,2025-01-15T00:00:00-05:00,False,False,False,False,1522.0,1,3770,0012,1,1,100,TRUCK,,ExWorks SanAntonioTX,COLLECT,,,bhagen@nutrisolsolutions.com,CFR49-HM181,,,"Email tracking number to:
Brent Hagen at bhagen@nutrisol.com
Heidi Wright at hwright@nutrisol.com
Danielle Edmonds at dedmonds@nutrisol.com

Email invoices: ap@nutrisol.com
                                
For truck shipments: 
Contact Danielle Edmonds: dedmonds@nutrisolsolutions.com
on the day the material is to ship to make arrangements for the truck.  

Mark B/L:  Shipping/Receiving dock time 3 pm to 5 pm

Manufacture and Retest Date required on all TDS",,,-1,Nutrisol LLC,2705 N. Mule Ranch Road,,,Corinne,UT,84307,USA,(435) 744-1035,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-03T14:14:16.727-05:00,2025-03-12T11:44:42.13-04:00,[],{},2025-02
900400,Entered,0015014,Kingston Process Metallurgy,2024-12-12,2025-01-27T00:00:00-05:00,2025-01-27T00:00:00-05:00,False,False,True,False,20492.0,1,KM1931-28,0000,1,1,100,TRUCK,Kris Mackowiak,EXWorks ILLINOIS,COLLECT,,,,CFR49-HM181,,,"SPECIAL INSTRUCTIONS:

DROP SHIP from IL 

Please contact Kris Mackowiak - 613-634-2022 Ext 123 and also email Kris Mackowick at kris.mackowiak@kpm.ca to arrange pick up. 

You can send any freight or shipment related documents / inquiries to freight@kpm.ca 

Some documents which they will require include:
Commercial Invoice / Canada Customs Invoice
Any other Relevant Customs Documents, permits etc.
Packing List
Ocean Bill of Lading
Arrival Notice / Advise Notice
 
Invoice and any payment related information / inquires to ap@kpm.ca",,,1,Kingston Process Metallurgy - Norris,599 Norris Ct.,,,Kingston,ON,K7P2R9,Canada,613-634-2022,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-07T10:17:45.117-05:00,2025-01-16T16:57:56.217-05:00,[],{},2024-12
900403,Entered,0011470,Pall Corporation,2024-12-16,2025-02-18T00:00:00-05:00,2025-02-17T00:00:00-05:00,False,False,False,False,458.31,1,4506403680-2,0024,1,1,100,FEDEX GROUND,Nicholas Sullivan,EXWorks SanAntonioTX,COLLECT,,,,UPS Ground / FedEx Ground,,This is part 2 of a 2-part partial shipment. This concludese the order.,"SPECIAL INSTRUCTIONS:

Fedex Ground Account No 013200386

Do not declare value on shipment

Include PO No. 4506403680, Date of Manufacture and Retest Date on all shipping documents and labels

All goods must state the manufacturer's country of origin on all documents including the bill of lading and commercial invoice.

Less than 150 lbs ship Fedex Ground Account No 013200386

Email Invoice to vendor_invoices@pall.com and Nicholas Sullivan at nicholas_sullivan@pall.com

Email tracking number to Peter Vercillo at peter_vercillo@pall.com, Jeanette Halsey-Bell at jeanette_halsey-bell@pall.com, Doreen Stillman at doreen_j._stillman@pall.com and Ron Griffith at ron_griffith@pall.com

Suppliers not following these instructions will be charged back all transportation and accessorial costs as penalty for non-compliance.",,,2,Pall Corporation,3643 State Route 281,,,Cortland,NY,13045,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-07T11:22:43.547-05:00,2025-02-10T16:05:58.027-05:00,[],{},2024-12
900445,Entered,0010136,Eagle Picher Technologies,2024-12-05,2025-10-22T00:00:00-04:00,2025-02-03T00:00:00-05:00,False,False,False,True,61248.0,1,D225998 (BLANKET),0006,1,1,100,TRUCK,Dillan Whistler,ExWorks-SanAntonioTX,THIRD PARTY,,,,CFR49-HM181,,,"THIS IS A BLANKET ORDER 


PO No D225998  and Eagle Picher Acct No  must be referenced in the ""Shipper Reference"" or ""Billing  Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices. 

Must include COC with each shipment. COC must include Eagle Picher's PO No,D225126 and Part No 11-16-114-0; REV. A  

Must assure that a minimum of 75% of the shelf life is remaining at time of receprt at Eagle Picher. 

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy 
Account: Worldwirde Express W822199749 

Third Party Billing
Eagle Picher c/o Worlwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,7,Eagle Picher Technologies,"1215 West ""C"" Street",,,Joplin,MO,64801,USA,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-14T10:03:33.823-05:00,2025-01-14T10:27:42.8-05:00,[],{},2024-12
900446,Entered,0010136,Eagle Picher Technologies,2025-01-14,2025-03-27T00:00:00-04:00,2025-02-03T00:00:00-05:00,False,False,False,False,22968.0,1,D225998 (1),0006,1,1,100,TRUCK,Dillan Whistler,ExWorks-SanAntonioTX,THIRD PARTY,,,,CFR49-HM181,,"Please note the ""(1)' attached to the PO # is for internal use only. Please maintain the original PO # for all special instructions and packaging arrangements.","THIS IS A BLANKET ORDER - Release #1


PO No D225998  and Eagle Picher Acct No  must be referenced in the ""Shipper Reference"" or ""Billing  Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices. 

Must include COC with each shipment. COC must include Eagle Picher's PO D225998  and Part No 11-16-114-0; REV. A  

Must assure that a minimum of 75% of the shelf life is remaining at time of receprt at Eagle Picher. 

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy 
Account: Worldwirde Express W822199749 

Third Party Billing
Eagle Picher c/o Worlwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,7,Eagle Picher Technologies,"1215 West ""C"" Street",,,Joplin,MO,64801,USA,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-14T10:08:09.84-05:00,2025-03-13T11:57:49.473-04:00,[],{},2025-01
900449,Entered,0012186,"ArtCraft Chemicals, Inc.",2025-02-03,2025-03-25T00:00:00-04:00,2025-03-25T00:00:00-04:00,False,False,False,False,2683.09,1,2325F,0012,1,1,100,UPS GROUND,Mike Jacobson,ExWorks SanAntonioTX,COLLECT,,,,UPS Ground / FedEx Ground,,,"UPS Acct. No. J72106

Email invoices to artcraftchemicals@gmail.com",,,-2,"ArtCraft Chemicals, Inc.",55 Duanesburg Rd,"Bldg 1, Bay 4b",,Schenectady,NY,12306,,,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-14T14:08:04.067-05:00,2025-03-12T13:16:46.28-04:00,[],{},2025-02
900461,Entered,0010136,Eagle Picher Technologies,2024-12-05,2025-03-19T00:00:00-04:00,2025-03-19T00:00:00-04:00,False,False,False,False,9570.0,1,D225998 (2),0006,1,1,100,TRUCK,Dillan Whistler,ExWorks-SanAntonioTX,THIRD PARTY,,,,CFR49-HM181,,"Please note the ""(2)' attached to the PO # is for internal use only. Please maintain the original PO # for all special instructions and packaging arrangements.","THIS IS A BLANKET ORDER - Release #2


PO No D225998  and Eagle Picher Acct No  must be referenced in the ""Shipper Reference"" or ""Billing  Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices. 

Must include COC with each shipment. COC must include Eagle Picher's PO D225998  and Part No 11-16-114-0; REV. A  

Must assure that a minimum of 75% of the shelf life is remaining at time of receprt at Eagle Picher. 

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy 
Account: Worldwirde Express W822199749 

Third Party Billing
Eagle Picher c/o Worlwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,7,Eagle Picher Technologies,"1215 West ""C"" Street",,,Joplin,MO,64801,USA,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-17T10:17:44.563-05:00,2025-01-17T10:35:44.15-05:00,[],{},2024-12
900462,Entered,0010136,Eagle Picher Technologies,2024-12-05,2025-05-30T00:00:00-04:00,2025-05-30T00:00:00-04:00,False,False,False,False,9570.0,1,D225998 (3),0006,1,1,100,TRUCK,Dillan Whistler,ExWorks-SanAntonioTX,THIRD PARTY,,,,CFR49-HM181,,"Please note the ""(3)' attached to the PO # is for internal use only. Please maintain the original PO # for all special instructions and packaging arrangements.","THIS IS A BLANKET ORDER - Release #3


PO No D225998  and Eagle Picher Acct No  must be referenced in the ""Shipper Reference"" or ""Billing  Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices. 

Must include COC with each shipment. COC must include Eagle Picher's PO D225998  and Part No 11-16-114-0; REV. A  

Must assure that a minimum of 75% of the shelf life is remaining at time of receprt at Eagle Picher. 

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy 
Account: Worldwirde Express W822199749 

Third Party Billing
Eagle Picher c/o Worlwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,7,Eagle Picher Technologies,"1215 West ""C"" Street",,,Joplin,MO,64801,USA,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-17T10:42:25.087-05:00,2025-01-17T10:42:25.087-05:00,[],{},2024-12
900463,Entered,0010136,Eagle Picher Technologies,2024-12-05,2025-08-07T00:00:00-04:00,2025-08-07T00:00:00-04:00,False,False,False,False,9570.0,1,D225998 (4),0006,1,1,100,TRUCK,Dillan Whistler,ExWorks-SanAntonioTX,THIRD PARTY,,,,CFR49-HM181,,"Please note the ""(4)' attached to the PO # is for internal use only. Please maintain the original PO # for all special instructions and packaging arrangements.","THIS IS A BLANKET ORDER - Release #4


PO No D225998  and Eagle Picher Acct No  must be referenced in the ""Shipper Reference"" or ""Billing  Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices. 

Must include COC with each shipment. COC must include Eagle Picher's PO D225998  and Part No 11-16-114-0; REV. A  

Must assure that a minimum of 75% of the shelf life is remaining at time of receprt at Eagle Picher. 

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy 
Account: Worldwirde Express W822199749 

Third Party Billing
Eagle Picher c/o Worlwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,7,Eagle Picher Technologies,"1215 West ""C"" Street",,,Joplin,MO,64801,USA,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-17T10:52:59.403-05:00,2025-01-17T10:52:59.403-05:00,[],{},2024-12
900464,Entered,0010136,Eagle Picher Technologies,2024-12-05,2025-10-22T00:00:00-04:00,2025-10-16T00:00:00-04:00,False,False,False,False,9570.0,1,D225998 (5),0006,1,1,100,TRUCK,Dillan Whistler,ExWorks-SanAntonioTX,THIRD PARTY,,,,CFR49-HM181,,"Please note the ""(5)' attached to the PO # is for internal use only. Please maintain the original PO # for all special instructions and packaging arrangements.","THIS IS A BLANKET ORDER - Release #5


PO No D225998  and Eagle Picher Acct No  must be referenced in the ""Shipper Reference"" or ""Billing  Reference"" area of all BOL, air bills and on all shipping labels, packing list and invoices. 

Must include COC with each shipment. COC must include Eagle Picher's PO D225998  and Part No 11-16-114-0; REV. A  

Must assure that a minimum of 75% of the shelf life is remaining at time of receprt at Eagle Picher. 

Tech Data Sheet must include the Manufacture Date and Retest Date.

LTL
UPS Freight or YRC - Third Party
Do Not use FedEx LTL Priority or Economy 
Account: Worldwirde Express W822199749 

Third Party Billing
Eagle Picher c/o Worlwide Express
2323 Victory Avenue
Suite 1600
Dallas, TX, 75219

Email SCFreight@wwex.com with shipment details for BOL and to schedule pickup.

Reference Account No W822199749

Third party billing instructions must appear on the BOL

Send Tracking information to Dillan Whistler at dillian.whistler@eaglepicher.com

Email for electronic invoicing: ap@eaglepicher.com",,,7,Eagle Picher Technologies,"1215 West ""C"" Street",,,Joplin,MO,64801,USA,(602) 794-9600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-17T11:01:47.68-05:00,2025-01-17T11:01:47.68-05:00,[],{},2024-12
900465,Entered,0008525,"Strem Chemicals, Inc.",2024-11-19,2025-03-31T00:00:00-04:00,2025-02-07T00:00:00-05:00,False,False,False,False,0.0,1,P24110145,0012,1,1,100,FEDEX FRT ECO,Clark Webb,ExWorks SanAntonioTX,COLLECT,,,pam@strem.com,CFR49-HM181,,,,,,-1,"Strem Chemicals, Inc.",7 Mulliken Way,Dexter Industrial Park,,Newburyport,MA,01950-4098,,(978) 499-1600,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-17T11:12:36.937-05:00,2025-02-06T16:04:37.42-05:00,[],{},2024-11
900469,Entered,0005290,BASF Mobile Emissions Catalyst,2025-01-30,2025-03-31T00:00:00-04:00,2025-03-31T00:00:00-04:00,False,False,False,False,7480.0,1,6000191871,0012,1,1,100,TRUCK,Galvin Maehew,Exworks SanAntonioTX,COLLECT,,,galvin.maehew@basf-catalystsmetals.com,CFR49-HM181,,,"Package in drums/totes clearly stating the lot number, BASF Part #, Gross/Net Weights.  2"" RED Color tape to be placed around each drum just below the Noah product label as indicated below.  Use color paint for the ears of the totes. 

BaSulfate - Red (4 drums / pallet) 

For BaSulfate - Make sure a 100 gm retention sample has been pulled for each lot shipped 

Put an additional product label on the top of each drum.

FOR DIESEL ORDERS: Make a huge label on 2 sides of the skid  with the following:  DIESEL / RETROFIT

Different products should be palletized separately.  Same products with different lot numbers must be palletized separately.

The following information must be on the BOL:

P.O. # 6000191871, tote serials # and trailer seal # 

Material to be delivered to BASF on Wednesday, April, 4 2025.

If the weather is going to be 40 deg F or lower between here and Huntsville during the days of transport, use a heated trailer.

When using a heated trailer, make sure to mark the B/L:   TRAILER MUST MAINTAIN A TEMPERATURE BETWEEN 70 - 85 deg. F.

To arrange for transport send an email to  Landstar at totlslg@landstarmail.com the Wednesday prior to the ship date with all the shipping details including P.O. number and delivery date.

Truck is to be exclusive use with an NTC seal applied after loading.    

P/L & C/A to be sent to HuntsvilleQC@basf-catalystsmetals.com. If emails don't go through fax to QC at (256) 774-4772

Send packing list and COA as soon as the order leaves our warehouse

Email invoice to Payables-Invoice-US32@basf-catalystsmetals.com",,,11,Schnellecke Logistics,9603 Kellner Road,,,Huntsville,AL,35824,USA,(256) 464-6220,Noah Chemicals,1 Noah Park,,,San Antonio,TX,78249,United States,,,,,,,,,,,,,,,,,,,,,,0,False,,2025-01-17T21:16:44.46-05:00,2025-02-18T14:47:30.373-05:00,[],{},2025-01
